=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1544 canonicals"
Entities:
E1. oon24opros.yolasite.com
E162. bloockflad.pw
E163. goaccount.link
E164. ganara.ru
E165. agentsuperpupervinil.ru
E166. filebin.net
E167. podologaneri.it
E168. nafillimonilini.net
E169. balerina.info
E170. malvy-ukriane.info
E171. aleimportadora.net
E172. kurapat.ru
E173. meta.ua
E174. metallergroup.ru
E175. t.co
E176. t--t.me
E177. it-develop.me
E178. 0-t.me
E179. 4-t.me
E180. 7tt.me
E181. t-me.io
E182. nxkad.ru
E183. coudzoom.ru
E184. reg.ru
E185. qiwardos.ru
E186. leonardis.ru
E187. lopasts.ru
E188. telegram-mobile.ru
E189. telegram-confirm.site
E190. telegram-wap.me
E191. telegram-chary.blog
E192. chary-telegram.eu [aka vote-telegram.eu]
E193. telegram-wed.id
E194. filedn.eu
E195. files-ukr.net
E196. files.ukr.net.ssl2.in
E197. plexbd.net
E198. gbshost.net
E199. authssl.org
E200. dcshost.net
E201. apitelegram.org
E202. iqhost.ru
E203. bitbucket.org
E204. golosdruga.ru
E205. atlantar.ru
E206. zarabovannyok.eu
E207. iplogger.com
E208. baletki.eu
E209. rivierafamily.com
E210. hudojnik.eu [aka hudojniku.eu]
E211. baletme.eu
E212. selectchary.eu
E213. milotraf.ru
E214. detroito.ru
E215. tarlit.ru
E216. steycools.pw
E217. africathrillthes.pw
E218. bookgames.pw
E219. killredls.pw
E220. carpetmarker.pw
E221. moskhoods.pw
E222. revivalsecularas.pw
E223. motoristo.ru
E224. zallesman.ru
E225. lolifans.ru
E226. shopersport.ru
E227. pasamart.ru
E228. id.court.gov.ua
E229. wicksl.ru
E230. cooperi.ru
E231. hudojnik-diti.eu
E232. sc-hudojnik.eu
E233. hudojnik-dsm.eu
E234. hudojnik-ua.eu
E235. benokij.com
E236. hudojnik-dst.eu
E237. cisa.gov
E238. a0695487.xsph.ru
E239. humanitarydp.ru
E240. a0671524.xsph.ru
E241. lingrevelat.com
E242. igshop.net
E243. gbshost.org
E244. cloudlnk.org
E245. ua-cip.org
E246. monitor.personlog.in
E247. tgeo.link
E248. tg-me.pro
E249. gir.network
E250. s3-stig.cloud
E251. govtr.cloud
E252. ukenlog.com
E253. jorgava.com
E254. geroiua.com
E255. uabayrakua.com
E256. god-le.com
E257. gov-ua.cloud [aka govua.cloud, ua-gov.cloud]
E258. github.com
E259. adobeprotectcheck.com
E260. nitikora.ru
E261. ruvds.com
E262. account-saver.com
E263. sansaispa.com
E264. imgurl.ir
E265. dynamic.exmo.day
E266. images.exmo.day
E267. moolin.ru
E268. rms-server.tektonit.ru
E269. ualogaccs.com
E270. uknetlogin.com
E271. ertel-audit.com
E272. alegoomaster.com
E273. golgba.com
E274. kew.1qw.us
E275. kew.8df.us
E276. blog.gocon.in
E277. dayzilons.pw
E278. blogger.certifiedauth.in
E279. let-me.life
E280. ukraine-charu.life
E281. balerina.life
E282. newyorktlimes.life
E283. balet-ua.life
E284. beget.com
E285. minef.eu
E286. deti.eu
E287. wm-gos.top
E288. sackmeister.de
E289. courtgova.site
E290. mail.lebsack.de
E291. s3-de.cloud
E292. clipperso.ru
E293. tg.cyou
E294. t.me
E295. ipapi.co
E296. t.certifiedauth.in
E297. balletworld.co
E298. yi-gos.top
E299. tvpharm.ru
E300. lo7h.com
E301. tme-id.com
E302. unetset.com
E303. lnasfe.ru
E304. jslopasitmon.com
E305. hawksi.ru
E306. 00-l.ru
E307. rncsq.ru
E308. callsol.ru
E309. rmssrv.ru
E310. rnbo.gov.ua
E311. net.ssl1.site [aka ssl1.site]
E312. cancel-auth.site
E313. ssl4.site [aka www.ssl4.site]
E314. net.ssl2.site [aka ssl2.site]
E315. authssl.site
E316. krasavchikoleg.net
E317. ssl3.site
E318. bourns.space
E319. ukraero.space
E320. com.ssl2.site
E321. ligaspace.ru
E322. com.ssl3.site
E323. mitlubald.ru
E324. telegrad.info
E325. garagemusicschool.it
E326. nakit-gov.cloud
E327. let-me.network
E328. ukr.net
E329. gov-gr.cloud
E330. ukr.net.frge.io
E331. world-opros.top
E332. fori-opros.top
E333. vote-chary-telegram.info
E334. malvy-vote.life [aka vote-malvy.life]
E335. voteph.art
E336. prot-ukr.net
E337. agro-sk.com.ua
E338. mail.zhblz.com
E339. zambeziz.com
E340. odwebp.com [aka svc.odwebp.com]
E341. opros-sch-hudojniki.eu [aka tvorchist-sch-hudojniki.eu]
E342. golos-hudojniku-ua.eu [aka golosa-hudojniku-ua.eu, golos-hudojniku-uah.eu, golosa-hudojniku-uah.eu]
E343. autodoka.com.ua
E344. golos-hudojniku.eu
E345. googles.com.personlog.in
E346. agrikoz.com
E347. kismamabeforyougo.su
E348. nabufixservice.su
E349. qaz.su
E350. zaikaopentra-com-ug.su
E351. superdadymster.ru
E352. opros-schudojniki-ua.eu [aka opros-schudojniki-uah.eu]
E353. hudojnikua-sch.eu
E354. golos-uah-hudojniku.eu
E355. hudojnikuah-sch.eu
E356. tvorchist-sadochka.eu [aka tvorchist-sch-hudojnika.eu]
E357. store3.gofile.io
E358. balet-me.pro
E359. baletua.pro
E360. store1.gofile.io
E361. store8.gofile.io
E362. aspe.ro
E363. rafraystore.ru
E364. balet-ua.pro
E365. hopentools.site
E366. sismasterhome.ru
E367. filterfullproperty.ru
E368. superops.ai
E369. superboler.com
E370. supermarioprohozhdenie.ru
E371. oncetrips.com
E372. sinergil.com
E373. super777bomba.ru
E374. info-cip.org
E375. getssl.ink
E376. tzi.info-cip.org
E377. golos-ukr.info [aka progolosyi.info]
E378. emtserviceca.info
E379. malvy-final.info
E380. familyvote.info
E381. crash.syncthing.net [aka syncthing.net]
E382. armpress.net
E383. site-ukr.net
E384. bh-ukr.net
E385. konkur-golos-ua.eu
E386. passport-ukr-net.site
E387. konkur-golos-uah.eu
E388. ukr.net.ssl1.site
E389. ukr.net.ssl2.site
E390. ukr-golosovan.site [aka ukr-golosovanie.site, ukr-golosovane.site]
E391. outlook.exmo.day
E392. baletnet.eu
E393. prostotaknet.net
E394. tvoyaradostetoya.ru
E395. hopentools.ru
E396. foundpomoshi.com
E397. gondurasonline.ug
E398. online.ua
E399. aws-online.cloud
E400. rubidiumo.ru
E401. mail.numina.md
E402. linedrv.com
E403. konkurs-vesna.info
E404. konkursi-ua.eu [aka konkursy-uah.eu]
E405. events.data.certifiedauth.in
E406. konkurs-vesna24.ru
E407. konkurs-deti-ua.eu
E408. events.data.exmo.day
E409. ua-compensation.top
E410. ua-compens.top
E411. tax-compenses.xyz
E412. uatax-compenses.xyz
E413. ua-compensations.xyz
E414. myua-compensations.xyz
E415. uam-compensation.xyz
E416. ukrainebayra.com
E417. yeah-biches.kyiv.ua
E418. int-ukr.net
E419. korrespondentnet.webflow.io
E420. ua.aspx.io
E421. get.adobe.com.aspx.io
E422. seznam.cz
E423. remala.id
E424. lamazone.site
E425. star-cz.ddns.net
E426. teiegram1.me
E427. iforma.es
E428. 3dstore.pro
E429. bt.toloka.to
E430. bt.toloka.tv
E431. ignoracndwko.shop
E432. grassemenwji.shop
E433. cityofuganda.ug
E434. humanitarydp.ug
E435. zaikaopentra.com.ug
E436. ua-taxes-compens.xyz
E437. lnk.ukr-compens.xyz
E438. compensation-ukr.com
E439. telegram.org-a0dk3dm91iu.tgeo.link
E440. cloue.link
E441. net.ssl2.link
E442. ret.6bc.us
E443. balet-ua.us
E444. balet-me.us
E445. nk.1qw.us
E446. mygraphbook.com
E447. kitten-268.frge.io
E448. net.frge.io
E449. _.ukr.net.frge.io
E450. mail-gov-ua.frge.io
E451. check.sign-cert.com [aka sign-cert.com]
E452. qwdfewf.com
E453. zaliphone.com
E454. ditinstvo-ua.pics [aka ua-ditinstvo.pics]
E455. farbi-ua.pics [aka farbi-uah.pics]
E456. uah-konkurs.pics
E457. ukraina-diti-ua.pics
E458. ns1.goaccount.link
E459. ns2.goaccount.link
E460. account.live.com.exmo.day
E461. accounts.ukr.net.ssl2.link
E462. raw.githubusercontent.com
E463. in-touc.com
E464. nlightusa.com
E465. lonejade.com
E466. ns1.lonejade.com
E467. vinergil.com
E468. blogger.google2.certifiedauth.in
E469. authcheck.in [aka www.authcheck.in]
E470. live.com.exmo.day
E471. live.com.getssl.click
E472. tronogram.com
E473. trust-certificate.net
E474. balet-me.info
E475. kilomunara.com
E476. ipodromlan.ru
E477. arhiv.ua-cip.org
E478. sindoproperty.org
E479. ukrainianworldcongress.info [aka ukrainianworldcongress.org]
E480. mockbin.org
E481. shorturl.at
E482. aten.ua
E483. pius-studio.at
E484. everything-everywhere.at.ply.gg
E485. geroi-ukraine.com
E486. ukraine-geroi.org.ua
E487. mf-ukr.net
E488. petitian--ukraine.com [aka petitian-ukraine.com, petition--ukraine.com]
E489. rew-ukr.net
E490. microjob.mn
E491. www.catalog.update.microsoft.com
E492. grafix.ne.jp
E493. cdnauthsoft.com
E494. softloadup.com
E495. xmr.2miners.com
E496. bihei.eu
E497. zbignef.com
E498. milekiev.eu
E499. qweasdzx.site
E500. l-ukr.net
E501. ck-ukr.net
E502. k1-ukr.net
E503. cck-ukr.net
E504. 0-ukr.net
E505. kb-ukr.net
E506. 1-ukr.net
E507. afi-ukraine.org
E508. ua-geroi.com.ua
E509. geroiukrainu.com
E510. geroi.kyiv.ua
E511. nv.ua
E512. petition-ukraine.com
E513. petitian-president.com
E514. petition-ukraina.com [aka petition-ukraina.com.ua]
E515. petitionukraine.com
E516. uc-ukr.net
E517. v-ukr.net
E518. 2fa-ukr.net
E519. 4e-ukr.net
E520. el-ukr.net
E521. ukainua.com
E522. ukrstnet.com
E523. geroiukr.site
E524. barvy-ukraines.life
E525. malvy-ukraine.info [aka ukraine-malvy.info]
E526. ukraine-barvy.info
E527. ukraine-barvy.life
E528. vh-ukr.net
E529. petition-president.kyiv.ua
E530. geroiua.com.ua [aka geroiukr.com.ua]
E531. cvi-ukr.net
E532. nbu.gov.ua
E533. gov.ua
E534. mail.gov.ua
E535. atl.ua
E536. dis.gov.ua
E537. hostpro.ua
E538. mail.aet.in.ua
E539. i-like-hokku.co.ua
E540. 01mirror.com.ua
E541. edisk.in.ua
E542. hsts.online [aka www.hsts.online]
E543. authssl.online
E544. barvy-ukraines.info
E545. malvy-ukraine.life [aka malvy-ukriane.life, ukraine-malvy.life]
E546. chares-ukraine.life
E547. conf-ukr.net
E548. ukraine-chares.info
E549. charyy-ukr.life [aka ukraine-charyy.life]
E550. biches-yeah.co.ua
E551. griselda.co.ua
E552. mill.co.ua
E553. i-ua.account-guard.site
E554. the-new-age.co.ua
E555. sowakiev.eu
E556. jasminkiev.eu
E557. ukraine-final.life
E558. uasettings.com
E559. uasystdoc.com
E560. uasystnet.com
E561. ml-ukr.net
E562. awards-ua.pics
E563. baletki-ua.pics
E564. hudojnik-diti-ua.eu
E565. mega.nz
E566. mta-ukr.net
E567. teneta.site
E568. balet-ua.eu
E569. dytiachatvorchist.pics [aka dytitvorchist.pics]
E570. baletki-ua.eu
E571. dsns.com.ua
E572. accounts---ukr.net
E573. accounts-ukr.net
E574. account-ukr.net
E575. accounts-s-ukr.net
E576. accounts.cm1-ukr.net
E577. accounts.regs-ukr.net
E578. accounts.ukr.net.ssl2.in
E579. lotus-kiev.eu [aka lotuskiev.eu]
E580. petition.president.gov.ua
E581. aws-meet.cloud [aka aws-meetings.cloud]
E582. aws-join.cloud
E583. aws-data.cloud
E584. griselda-edu.com.ua
E585. reg-ukr.net
E586. regs-ukr.net
E587. ccbaminumpot.ru
E588. webk-telegram.sbs
E589. telesecurity.org
E590. webz-telegram.sbs
E591. vsekonkursy.pics
E592. aws-secure.cloud
E593. sb-ukr.net
E594. yotsubasociety.website
E595. secure.certifiedauth.in
E596. telegram.uk.net
E597. qaz.is
E598. sav.com
E599. sea-dobbiaco.bz.it
E600. topibuzz.space
E601. net.ssl3.site
E602. com.ssl3.online [aka ssl3.online, net.ssl3.online]
E603. ukr.net.ssl3.site
E604. google.com.ssl3.site
E605. com.ssl2.online
E606. googie.com.ssl3.online
E607. com.ssl4.online [aka ssl4.online]
E608. ukr.net.ssl3.online
E609. docs.googie.com.ssl3.online
E610. share.ukr.net.ssl3.online
E611. ukr.net.ssl2.in
E612. docs.ukr.net.ssl2.in
E613. www.ssl2.in
E614. edisk.ukr.net.ssl2.in
E615. net.ssl2.online
E616. ssl1.online
E617. ukr.net.ssl2.online
E618. gdocs.com.ssl2.online
E619. ns2.modeselling.com
E620. ns1.modeselling.com
E621. drive.google.com
E622. modeselling.com
E623. qaz.im
E624. coinmakopenarea.su
E625. net-certificate.services
E626. documentreader.net
E627. notifications.certifiedauth.in
E628. gov-trust.cloud
E629. netman.servehttp.com
E630. res.certifiedauth.in
E631. notifications.google2.certifiedauth.in
E632. zero-trust.solutions
E633. tacticalv.com
E634. new-tech-savvy.com
E635. golos-mistechtva-ua.eu [aka golos-mistechtva-uah.eu]
E636. telecomds.online
E637. ssl2.online
E638. awsplatform.online
E639. telegram.org.t.me-cloud.link
E640. telegram.defender-bot.site
E641. cloud.god-le.net
E642. defender-bot.site
E643. telegram-click.ru
E644. off.ukr-compens.xyz
E645. compensationukr.com
E646. pay.uacompensation.xyz
E647. confirm-ukr.net
E648. tax-compensation.xyz
E649. arminext.com
E650. gopoppers.com
E651. advanced-ip-scanners.com
E652. drv2ms.com
E653. pay.ukr-compens.xyz
E654. next24.gg-pay.me
E655. monopoliafromyou.ru
E656. cdn.certifiedauth.in
E657. advanced-ip-scaner.com
E658. blogger.google.com.getssl.click
E659. personlog.in
E660. olminx.com
E661. mil.ua.aspx.io
E662. gov.mil.ua.aspx.io
E663. ua-se.cloud
E664. mil-ee.cloud
E665. ua-sn.cloud
E666. mil-pl.cloud
E667. ua-sec.cloud
E668. mil-be.cloud [aka s3-be.cloud]
Mentions:
M1. "euro24dopomoga0.yolasite.com" (Domain) — options: E1, E2, E3, E4
M2. "domthr.xyz" (Domain) — options: E10, E11, E12, E13
M3. "admis.club" (Domain) — options: E19, E20, E21, E22
M4. "co-uah.top" (Domain) — options: E28, E29, E30, E31
M5. "co-opros.top" (Domain) — options: E36, E37, E38, E39
M6. "cerv-gos.top" (Domain) — options: E30, E45, E46, E47
M7. "central-gos.top" (Domain) — options: E49, E46, E30, E51
M8. "center-gos.top" (Domain) — options: E34, E46, E47, E54
M9. "cels-opros.top" (Domain) — options: E57, E39, E58, E59
M10. "bul-opros.top" (Domain) — options: E59, E60, E29, E39
M11. "brand-gos.top" (Domain) — options: E47, E64, E46, E43
M12. "bow-gos.top" (Domain) — options: E47, E67, E46, E30
M13. "big-uah.top" (Domain) — options: E36, E30, E46, E26
M14. "badge-gos.top" (Domain) — options: E35, E46, E69, E47
M15. "apps-opros.top" (Domain) — options: E63, E39, E42, E29
M16. "an-gos.top" (Domain) — options: E30, E46, E31, E43
M17. "amo-opros.top" (Domain) — options: E59, E37, E29, E39
M18. "alf-gos.top" (Domain) — options: E53, E46, E30, E64
M19. "alfa-gos.top" (Domain) — options: E50, E46, E30, E66
M20. "afi-opros.top" (Domain) — options: E42, E61, E39, E40
M21. "aff-opros.top" (Domain) — options: E59, E39, E40, E29
M22. "an-ukr.top" (Domain) — options: E75, E24, E47, E76
M23. "rbadm.top" (Domain) — options: E26, E80, E23, E24
M24. "topadm.top" (Domain) — options: E24, E80, E82, E23
M25. "project3.top" (Domain) — options: E81, E23, E43, E24
M26. "project2.top" (Domain) — options: E87, E23, E43, E24
M27. "admru.top" (Domain) — options: E24, E20, E26, E82
M28. "admus.top" (Domain) — options: E24, E23, E26, E47
M29. "trueadm.top" (Domain) — options: E26, E82, E23, E24
M30. "coinerpay.top" (Domain) — options: E29, E89, E23, E90
