=== REQUEST (gemini gemini-3.7-flash) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 291 canonicals"
Entities:
E1. product2020.mrbasic.com
E189. docs.microsoft.com
E190. billiopa.com
E191. oceriesfornot.top
E192. api.dev-com.sc
E193. antination.kherson.ua
E194. bank.gov.ua
E195. dsszzi.gov.ua
E196. gov-ua.info
E197. pbank.co.ua
E198. ua30.gov.ua
E199. cuckoo.cert.ee
E200. alt-2cdn.net
E201. parodadoca.ru
E202. naffalno.site
E203. baidencult.com
E204. nitikora.ru
E205. answers.microsoft.com
E206. social.technet.microsoft.com
E207. cautionphenomenon.co.kr
E208. rmssrv2.ru
E209. rmssrv3.ru
E210. xbeta.online
E211. chinagrill.co
E212. zp.ukrtel.net
E213. successilin.top
E214. microsoft.com
E215. optica-rd.myftp.biz
E216. domthr.xyz
E217. webknives.com
E218. badpdf.com
E219. cs1.wpc-v0cdn.org
E220. ceronamtinclube.icu
E221. chubanomania.icu
E222. rmssrv4.ru
E223. giraffe-tour.ru
E224. servecounterstrike.com
E225. analyze.intezer.com
E226. stormpredictor.host
E227. www.symantec.com
E228. ryomy.ru
E229. gangbang6.monster
E230. cdn.discordapp.com
E231. toknowall.com
E232. rivertimad.com
E233. dezword.com
E234. proxylogon.com
E235. military-ukraine.online
E236. portal.nazk.gov.ua
E237. portal.msrc.microsoft.com
E238. portal.nazk.org.ua
E239. president.gov.ua.administration.vakansiyi.administration.president.gov-ua.info
E240. pastebin.com
Mentions:
M1. "euro24dopomoga0.yolasite.com" (Domain) — options: E1, E2, E3, E4
M2. "domthr.xyz" (Domain) — options: E10, E11, E12, E13
M3. "admis.club" (Domain) — options: E19, E20, E21, E22
M4. "co-uah.top" (Domain) — options: E26, E27, E28, E29
M5. "co-opros.top" (Domain) — options: E33, E34, E35, E36
M6. "cerv-gos.top" (Domain) — options: E40, E41, E42, E43
M7. "central-gos.top" (Domain) — options: E41, E46, E42, E43
M8. "center-gos.top" (Domain) — options: E40, E46, E42, E43
M9. "cels-opros.top" (Domain) — options: E38, E37, E27, E35
M10. "bul-opros.top" (Domain) — options: E34, E35, E36, E33
M11. "brand-gos.top" (Domain) — options: E32, E42, E44, E29
M12. "bow-gos.top" (Domain) — options: E42, E32, E44, E45
M13. "big-uah.top" (Domain) — options: E39, E28, E29, E44
M14. "badge-gos.top" (Domain) — options: E42, E43, E32, E29
M15. "apps-opros.top" (Domain) — options: E35, E36, E33, E34
M16. "an-gos.top" (Domain) — options: E42, E45, E43, E29
M17. "amo-opros.top" (Domain) — options: E35, E36, E27, E38
M18. "alf-gos.top" (Domain) — options: E43, E32, E29, E35
M19. "alfa-gos.top" (Domain) — options: E42, E32, E44, E29
M20. "afi-opros.top" (Domain) — options: E35, E33, E38, E37
M21. "aff-opros.top" (Domain) — options: E36, E33, E38, E37
M22. "an-ukr.top" (Domain) — options: E12, E32, E21, E39
M23. "rbadm.top" (Domain) — options: E47, E48, E23, E21
M24. "topadm.top" (Domain) — options: E47, E52, E23, E12
M25. "project3.top" (Domain) — options: E53, E23, E12, E21
M26. "project2.top" (Domain) — options: E55, E23, E12, E21
M27. "admru.top" (Domain) — options: E21, E12, E52, E32
M28. "admus.top" (Domain) — options: E12, E23, E32, E28
M29. "trueadm.top" (Domain) — options: E52, E48, E23, E12
M30. "coinerpay.top" (Domain) — options: E31, E27, E39, E23
M31. "admukr.top" (Domain) — options: E21, E28, E23, E19
M32. "admukr.club" (Domain) — options: E56, E12, E20, E22
M33. "nx0.ru" (Domain) — options: E58, E59, E60, E61
M34. "fex.net" (Domain) — options: E57, E65, E66, E67
M35. "ddns.net" (Domain) — options: E73, E74, E75, E76
M36. "xsph.ru" (Domain) — options: E80, E81, E58, E59
M37. "dodortar.ru" (Domain) — options: E82, E83, E84, E58
M38. "dogiraftig.com" (Domain) — options: E85, E2, E3, E4
M39. "myddns.me" (Domain) — options: E67, E79, E86, E87
M40. "ohsxy.com" (Domain) — options: E90, E91, E2, E3
M41. "tridiuma.ru" (Domain) — options: E58, E59, E60, E61
M42. "dyndns.com" (Domain) — options: E92, E93, E94, E95
M43. "freedynamicdns.org" (Domain) — options: E68, E15, E98, E99
M44. "freedynamicdns.net" (Domain) — options: E105, E66, E67, E106
M45. "hmgo.pw" (Domain) — options: E107, E15, E108, E32
M46. "github.com" (Domain) — options: E113, E114, E115, E116
M47. "frge.io" (Domain) — options: E117, E118, E42, E114
M48. "ns3-dns.com" (Domain) — options: E92, E97, E96, E79
M49. "erwini.ru" (Domain) — options: E58, E59, E60, E61
M50. "ryomy.ru" (Domain) — options: E58, E59, E60, E61
M51. "emterox.ru" (Domain) — options: E64, E58, E59, E60
M52. "sytes.net" (Domain) — options: E67, E106, E122, E66
M53. "serveirc.com" (Domain) — options: E123, E124, E125, E126
M54. "lthhc-zm.com" (Domain) — options: E131, E6, E8, E113
M55. "gotdns.ch" (Domain) — options: E79, E115, E92, E93
M56. "potrakit.ru" (Domain) — options: E137, E58, E59, E60
M57. "bounceme.net" (Domain) — options: E67, E106, E68, E69
M58. "www.dstruct.net" (Domain) — options: E77, E138, E66, E67
M59. "acteran.ru" (Domain) — options: E14, E59, E60, E61
M60. "jokotras.ru" (Domain) — options: E140, E141, E11, E142
M61. "fluoxi.com" (Domain) — options: E143, E144, E2, E3
M62. "kopratiso.ru" (Domain) — options: E145, E58, E59, E60
M63. "zapto.org" (Domain) — options: E15, E98, E105, E103
M64. "omyce.ru" (Domain) — options: E58, E59, E60, E61
M65. "webhop.me" (Domain) — options: E147, E86, E78, E87
M66. "mulleti.ru" (Domain) — options: E58, E59, E60, E61
M67. "drimzis.com" (Domain) — options: E24, E149, E144, E114
M68. "ns2-dns.com" (Domain) — options: E93, E96, E97, E79
M69. "evil.server.com" (Domain) — options: E130, E152, E153, E50
M70. "pastebin.com" (Domain) — options: E3, E85, E2, E4
M71. "viewdns.net" (Domain) — options: E67, E155, E66, E73
M72. "servehttp.com" (Domain) — options: E124, E126, E118, E152
M73. "stormpredictor.host" (Domain) — options: E157, E158, E159, E160
M74. "shormanz.com" (Domain) — options: E136, E163, E2, E3
M75. "iol.pt" (Domain) — options: E110, E164, E6, E9
M76. "myftp.org" (Domain) — options: E16, E167, E168, E15
M77. "3utilities.com" (Domain) — options: E3, E4, E5, E6
M78. "xbeta.online" (Domain) — options: E169, E170, E171, E172
M79. "blinkij.com" (Domain) — options: E143, E5, E9, E165
M80. "cuckoo.cert.ee" (Domain) — options: E148, E57, E180, E165
M81. "hotmail.com" (Domain) — options: E150, E183, E149, E9
M82. "naffalno.site" (Domain) — options: E184, E185, E181, E186
M83. "posish.club" (Domain) — options: E56, E19, E22, E9
M84. "winuvinnosluk.club" (Domain) — options: E56, E19, E20, E6
M85. "ndlestomak.top" (Domain) — options: E31, E23, E12, E21
M86. "successilin.top" (Domain) — options: E23, E12, E21, E49
M87. "reteredelete.top" (Domain) — options: E23, E12, E21, E49
M88. "fikasterwer.top" (Domain) — options: E23, E12, E21, E49
M89. "oceriesfornot.top" (Domain) — options: E49, E34, E23, E12
M90. "dev-com.sc" (Domain) — options: E192, E46, E2, E3
M91. "i.ua" (Domain) — options: E110, E193, E194, E180
M92. "jevejosader.top" (Domain) — options: E23, E12, E21, E49
M93. "arcor.de" (Domain) — options: E87, E199, E200, E88
M94. "eumr.site" (Domain) — options: E184, E185, E202, E57
M95. "axikok.com" (Domain) — options: E6, E9, E7, E156
M96. "apoxipodes.ru" (Domain) — options: E58, E60, E61, E62
M97. "co87972.tmweb.ru" (Domain) — options: E58, E59, E60, E61
M98. "arentuk.com" (Domain) — options: E3, E203, E8, E165
M99. "nitikora.ru" (Domain) — options: E60, E142, E58, E59
M100. "varanasiclick.ru" (Domain) — options: E58, E59, E60, E61
M101. "tiloraso.ru" (Domain) — options: E141, E60, E84, E204
M102. "hopto.org" (Domain) — options: E102, E100, E98, E105
M103. "s8.h.mchost.ru" (Domain) — options: E61, E189, E205, E206
M104. "tortunas.ru" (Domain) — options: E63, E84, E58, E59
M105. "chinagrill.co" (Domain) — options: E151, E116, E207, E27
M106. "rmssrv4.ru" (Domain) — options: E208, E209, E58, E59
M107. "coagula.online" (Domain) — options: E175, E210, E169, E170
M108. "bilitora.ru" (Domain) — options: E204, E141, E61, E142
M109. "email.cz" (Domain) — options: E150, E136, E149, E9
M110. "sm.ukrtel.net" (Domain) — options: E212, E65, E57, E139
M111. "circulas.ru" (Domain) — options: E135, E58, E59, E60
M112. "accept-pay.top" (Domain) — options: E30, E46, E39, E54
M113. "nirsoft.me" (Domain) — options: E214, E86, E78, E88
M114. "myftp.biz" (Domain) — options: E98, E215, E167, E168
M115. "verofes.com" (Domain) — options: E124, E126, E123, E217
M116. "nowpropitup.com" (Domain) — options: E179, E2, E3, E4
M117. "proxylogon.com" (Domain) — options: E2, E3, E4, E5
M118. "blopik.com" (Domain) — options: E144, E9, E218, E178
M119. "serveftp.com" (Domain) — options: E127, E152, E125, E126
M120. "britxec.com" (Domain) — options: E162, E144, E25, E132
M121. "wpc-v0cdn.org" (Domain) — options: E219, E105, E15, E98
M122. "noip.com" (Domain) — options: E9, E143, E150, E144
M123. "great-surveys.top" (Domain) — options: E34, E41, E31, E21
M124. "arelyevennot.top" (Domain) — options: E191, E23, E12, E21
M125. "chernilis.win" (Domain) — options: E213, E46, E63, E121
M126. "ritionalvalueon.top" (Domain) — options: E23, E12, E21, E49
M127. "antination.kherson.ua" (Domain) — options: E110, E164, E58, E7
M128. "apokil.com" (Domain) — options: E151, E165, E143, E150
M129. "billyhot.ru" (Domain) — options: E60, E58, E59, E62
M130. "milotrad.ru" (Domain) — options: E60, E84, E142, E58
M131. "ansaigon.com" (Domain) — options: E6, E165, E120, E2
M132. "rmssrv2.ru" (Domain) — options: E209, E222, E58, E59
M133. "forkscenter.fr" (Domain) — options: E50, E86, E223, E224
M134. "yandex.ru" (Domain) — options: E62, E58, E59, E60
M135. "rmssrv3.ru" (Domain) — options: E208, E222, E58, E59
M136. "telsec.org" (Domain) — options: E105, E15, E98, E100
M137. "enterwords.ru" (Domain) — options: E14, E58, E59, E60
M138. "ghaniyu.com" (Domain) — options: E150, E6, E134, E2
M139. "onthewifi.com" (Domain) — options: E2, E3, E4, E5
M140. "ipv6-wpnc.net" (Domain) — options: E76, E66, E67, E106
M141. "billiopa.com" (Domain) — options: E143, E2, E3, E4
M142. "toknowall.com" (Domain) — options: E136, E116, E2, E3
M143. "webknives.com" (Domain) — options: E119, E130, E2, E3
M144. "raidforums.com" (Domain) — options: E203, E2, E3, E4
M145. "borizhog.com" (Domain) — options: E114, E2, E3, E4
M146. "scorpiones.online" (Domain) — options: E171, E174, E169, E172
M147. "graphiuma.online" (Domain) — options: E172, E169, E170, E173
M148. "serveblog.net" (Domain) — options: E126, E66, E67, E106
M149. "app.any.run" (Domain) — options: E58, E59, E121, E228
M150. "syncapp.host" (Domain) — options: E157, E158, E159, E226
M151. "apeduze.com" (Domain) — options: E6, E5, E9, E156
M152. "anidoz.com" (Domain) — options: E165, E7, E8, E24
M153. "photobucket.com" (Domain) — options: E2, E3, E4, E5
M154. "tinyurl.com" (Domain) — options: E24, E132, E231, E2
M155. "akaluij.com" (Domain) — options: E3, E8, E9, E24
M156. "alt-2cdn.net" (Domain) — options: E74, E73, E67, E72
M157. "drive.google.com" (Domain) — options: E232, E118, E203, E162
M158. "phymateus.online" (Domain) — options: E169, E173, E171, E172
M159. "ukr.net" (Domain) — options: E139, E106, E122, E212
M160. "military-ukraine.site" (Domain) — options: E235, E184, E185, E181
M161. "military-ukraine.online" (Domain) — options: E186, E173, E170, E171
M162. "portal.nazk.org.ua" (Domain) — options: E236, E197, E135, E237
M163. "pbank.co.ua" (Domain) — options: E194, E236, E198, E238
M164. "gov-ua.info" (Domain) — options: E110, E194, E180, E195
M165. "gov.ua" (Domain) — options: E194, E180, E195, E196
M166. "zp.ukrtel.net" (Domain) — options: E122, E57, E65, E66
M167. "shikjil.com" (Domain) — options: E9, E165, E144, E25
M168. "netbin.host" (Domain) — options: E158, E157, E226, E160
M169. "gobits3.com" (Domain) — options: E132, E150, E179, E2
M170. "site-1.work" (Domain) — options: E184, E185, E181, E202
M171. "rivertimad.com" (Domain) — options: E149, E130, E2, E3

=== RESPONSE (19.8s, in 9952 / out 3828 tok, STOP) ===
