=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide one thing: which entity it is. Hierarchy between entities is decided elsewhere — never answer it here.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for. A mention may carry a `ctx:` reference naming the evidence window(s) (`S1. …`) that contain it.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference.

Output one raw JSON object per line (JSONL), no markdown fences, no commentary, no wrapping array, one line per mention, in order, keys exactly `m`, `id`, `g`:
{"m":"M1","id":"E3","g":null}
{"m":"M2","id":"NEW","g":"a 2010 release of the suite"}

--- text ---
Source: "Нарощування темпів UAC-0006, мільйонні збитки (CERT-UA#7648, CERT-UA#7688, CERT-UA#7699, CERT-UA#7705)" — evidence: S1. "8:47) використовується з другої декади вересня по теперішній час. Крім того, сервер управління шкідливою програмою розміщено на технічному майданчику ООО "Трейдер софт" (@simplecloud.ru, ОГРН:1089848043086, м.Санкт-Петербруг, Чекель Н.В.):</p><ul><li>85.143.216[.]129 (з 16.09.2023)</li><li>85.143.172[.]45 (з 01.10.2023)</li></ul><p>*<em>Слід зауважити, що використання інфраструктури О"
Entities:
E1. ЕОМ бухгалтерів
E2. Фінансові установи України
E3. державні та приватні установи, організації та підприємства [aka підприємства, установи та організації різної форми власності]
E4. державні організації України [aka Ukrainian government organizations, державна організація України]
E5. місцеві ЗМІ
E6. Державні фінансові установи України
E7. інформаційні та телекомунікаційні системи органів державної влади та місцевого самоврядування
E8. інформаційний простір України
E9. організації України [aka українські організації, Ukrainian organizations]
E10. вебсайти державних органів [aka сайти державних органів, вебсайти державних організацій, Веб-ресурси державних органів України, вебресурси державних організацій]
E11. Електронний суд
E12. Єдиний державний реєстр декларацій осіб, уповноважених на виконання функцій держави або місцевого самоврядування
E13. Єдина судова інформаційно-телекомунікаційна система (ЄСІТС)
E14. Система виявлення вразливостей і реагування на кіберінциденти та кібератаки
E15. об'єкт критичної енергетичної інфраструктури України
E16. високовольтні електричні підстанції
E17. DNS-сервери для зони gov.ua
E18. ботмережа (більше 1000 комп'ютерів)
E19. TOR
{"m":"nomnetozhedenyuzhkanuzhna.ru","id":"NEW","g":null}
{"m":"popuasyfromua.ru","id":"NEW","g":null}
{"m":"propertyiran.ir","id":"NEW","g":null}
{"m":"propertyminsk.by","id":"NEW","g":null}
{"m":"prostosmeritesya.ru","id":"NEW","g":null}
{"m":"restmantra.by","id":"NEW","g":null}
{"m":"sakentoshi.ru","id":"NEW","g":null}
{"m":"specnaznachenie.ru","id":"NEW","g":null}
{"m":"super777bomba.ru","id":"NEW","g":null}
{"m":"tvoyaradostetoya.ru","id":"NEW","g":null}
{"m":"yavasponimayu.ru","id":"NEW","g":null}
{"m":"zakrylki809.ru","id":"NEW","g":null}
{"m":"zasadacafe.by","id":"NEW","g":null}
