=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1589 canonicals"
Entities:
E1. shopersport.ru
E180. vuonorganic.com
E181. gmail.com
E182. ginaengg.com
E183. noip.com
E184. ssl3.site
E185. ssl1.site
E186. octoberoctopus.co.za
E187. com.authssl.site
E188. ukr-golosovane.site
E189. military-ukraine.site
E190. com.ssl2.site
E191. e-wwg.com
E192. linedrv.com
E193. ns1.lonejade.com
E194. lonelyatthetop.com
E195. anotepad.com
E196. zaliphone.com
E197. akaluij.com
E198. minijusfil.com
E199. swinj.online
E200. drimzis.com
E201. filetransrediremin.com
E202. gimnasikaua.site
E203. uabayrakua.com
E204. geroiua.com.ua
E205. jorgava.com
E206. geroiukrainu.com
E207. geroiukr.com.ua
E208. geroiukr.site
E209. balet-ua.us
E210. chinagrill.co
E211. hmgo.pw
E212. steycools.pw
E213. africathrillthes.pw
E214. kesp.cl
E215. revivalsecularas.pw
E216. bloockflad.pw
E217. ao3.hmgo.pw
E218. dayzilons.pw
E219. bookgames.pw
E220. hudojnik-dst.eu
E221. apitelegram.org
E222. eurotelle.com
E223. hopto.org [aka zapto.org]
E224. vibirua-hudojnika.eu
E225. authssl.org
E226. mail.nais-gov.org [aka nais-gov.org]
E227. bitbucket.org
E228. chimeramarketplace24.online
E229. davincigroup.online [aka groupdavinci.online]
E230. chimeramarket24.online
E231. authssl.online
E232. chimera-shop24.online
E233. phymateus.online
E234. ssl2.online
E235. scorpiones.online
Mentions:
M1. "backstagemerch.shop" (Domain) — options: E1, E2, E3, E4
M2. "empoweringparents.shop" (Domain) — options: E1, E10, E6, E11
M3. "lauramcinerney.shop" (Domain) — options: E15, E10, E8, E2
M4. "president-petitions.shop" (Domain) — options: E11, E1, E19, E20
M5. "igshop.net" (Domain) — options: E1, E24, E25, E26
M6. "shopersport.ru" (Domain) — options: E8, E31, E32, E33
M7. "modeselling.com" (Domain) — options: E39, E40, E41, E42
M8. "barnsertr.com" (Domain) — options: E48, E12, E49, E43
M9. "rafraystore.ru" (Domain) — options: E1, E33, E53, E38
M10. "gopoppers.com" (Domain) — options: E57, E58, E59, E43
M11. "verycheap.store" (Domain) — options: E1, E8, E64, E53
M12. "pasamart.ru" (Domain) — options: E55, E69, E70, E71
M13. "3dstore.pro" (Domain) — options: E74, E75, E76, E77
M14. "vljsport.eu.com" (Domain) — options: E82, E83, E1, E84
M15. "barbacoalosmartinez.com" (Domain) — options: E67, E43, E89, E7
M16. "sackmeister.de" (Domain) — options: E93, E94, E95, E96
M17. "superboler.com" (Domain) — options: E102, E103, E43, E57
M18. "sendmail.website" (Domain) — options: E106, E107, E108, E109
M19. "product-reviews.website" (Domain) — options: E115, E109, E116, E114
M20. "fikasterwer.top" (Domain) — options: E119, E120, E121, E122
M21. "chinagrill.co" (Domain) — options: E128, E129, E130, E131
M22. "arentuk.com" (Domain) — options: E136, E91, E137, E43
M23. "skreatortemp.site" (Domain) — options: E139, E50, E140, E141
M24. "grafix.ne.jp" (Domain) — options: E146, E147, E148, E149
M25. "baidencult.com" (Domain) — options: E153, E43, E154, E12
M26. "nlightusa.com" (Domain) — options: E159, E160, E17, E43
M27. "fan-guy.com" (Domain) — options: E162, E163, E164, E43
M28. "erinekenney.com" (Domain) — options: E48, E167, E5, E43
M29. "yemmyusa.com" (Domain) — options: E171, E161, E43, E172
M30. "lesrochersblancs.com" (Domain) — options: E7, E43, E175, E176
M31. "vinergil.com" (Domain) — options: E82, E179, E105, E43
M32. "naffalno.site" (Domain) — options: E12, E114, E145, E142
M33. "thestoreroomnsw.com.au" (Domain) — options: E148, E67, E167, E53
M34. "lamazone.site" (Domain) — options: E185, E143, E188, E142
M35. "ginaengg.com" (Domain) — options: E191, E143, E192, E160
M36. "lonejade.com" (Domain) — options: E193, E194, E195, E43
M37. "agreminj.com" (Domain) — options: E197, E133, E43, E198
M38. "geroiua.com" (Domain) — options: E202, E203, E204, E205
M39. "balletmasters.co" (Domain) — options: E96, E132, E100, E209
M40. "keewoolas.pw" (Domain) — options: E211, E212, E213, E214
M41. "europadonnaireland.org" (Domain) — options: E220, E221, E222, E223
M42. "chimeramarketplace.online" (Domain) — options: E228, E229, E230, E231

=== RESPONSE (79.1s, in 5547 / out 8026 tok, stop) ===
{"v":[{"m":"backstagemerch.shop","id":"NEW","g":"a domain","p":null,"r":null},{"m":"empoweringparents.shop","id":"NEW","g":"a domain","p":null,"r":null},{"m":"lauramcinerney.shop","id":"NEW","g":"a domain","p":null,"r":null},{"m":"president-petitions.shop","id":"NEW","g":"a domain","p":null,"r":null},{"m":"igshop.net","id":"NEW","g":"a domain","p":null,"r":null},{"m":"shopersport.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"modeselling.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"barnsertr.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"rafraystore.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"gopoppers.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"verycheap.store","id":"NEW","g":"a domain","p":null,"r":null},{"m":"pasamart.ru","id":"NEW","g":"a domain","p":null,"r":null},{"m":"3dstore.pro","id":"NEW","g":"a domain","p":null,"r":null},{"m":"vljsport.eu.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"barbacoalosmartinez.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"sackmeister.de","id":"NEW","g":"a domain","p":null,"r":null},{"m":"superboler.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"sendmail.website","id":"NEW","g":"a domain","p":null,"r":null},{"m":"product-reviews.website","id":"NEW","g":"a domain","p":null,"r":null},{"m":"fikasterwer.top","id":"NEW","g":"a domain","p":null,"r":null},{"m":"chinagrill.co","id":"NEW","g":"a domain","p":null,"r":null},{"m":"arentuk.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"skreatortemp.site","id":"NEW","g":"a domain","p":null,"r":null},{"m":"grafix.ne.jp","id":"NEW","g":"a domain","p":null,"r":null},{"m":"baidencult.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"nlightusa.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"fan-guy.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"erinekenney.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"yemmyusa.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"lesrochersblancs.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"vinergil.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"naffalno.site","id":"NEW","g":"a domain","p":null,"r":null},{"m":"thestoreroomnsw.com.au","id":"NEW","g":"a domain","p":null,"r":null},{"m":"lamazone.site","id":"NEW","g":"a domain","p":null,"r":null},{"m":"ginaengg.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"lonejade.com","id":"NEW","g":"a domain","p":"E193","r":"b"},{"m":"agreminj.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"geroiua.com","id":"NEW","g":"a domain","p":null,"r":null},{"m":"balletmasters.co","id":"NEW","g":"a domain","p":null,"r":null},{"m":"keewoolas.pw","id":"NEW","g":"a domain","p":null,"r":null},{"m":"europadonnaireland.org","id":"NEW","g":"a domain","p":null,"r":null},{"m":"chimeramarketplace.online","id":"NEW","g":"a domain","p":"E228","r":"b"}]}
