=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 242 canonicals"
Entities:
E1. telegraom.me
M15. "telegram-wed.id" (Domain) — options: E7, E10, E62, E57
M16. "i1t.me" (Domain) — options: E53, E65, E12, E66
M17. "gondurasonline.ru" (Domain) — options: E68, E69, E70, E71
M18. "t-me.io" (Domain) — options: E66, E48, E13, E76
M19. "telegram-wap.me" (Domain) — options: E1, E16, E79, E14
M20. "telegram-click.ru" (Domain) — options: E14, E10, E7, E16
M21. "nafillimonilini.net" (Domain) — options: E7, E26, E20, E80
M22. "webk-telegram.icu" (Domain) — options: E83, E7, E84, E27
M23. "krasavchikoleg.net" (Domain) — options: E73, E26, E85, E32
M24. "cloudlnk.org" (Domain) — options: E78, E25, E17, E45
M25. "freeusadatingxxx.online" (Domain) — options: E5, E4, E3, E21
M26. "zarabovannyok.eu" (Domain) — options: E32, E89, E90, E58
M27. "teiergam.com" (Domain) — options: E45, E33, E11, E54
M28. "grabify.link" (Domain) — options: E17, E49, E78, E79
M29. "alt-2cdn.net" (Domain) — options: E95, E96, E26, E97
M30. "ns.ns2-dns.com" (Domain) — options: E99, E96, E100, E33
M31. "t--t.me" (Domain) — options: E12, E65, E53, E67
M32. "teleqram.info" (Domain) — options: E9, E50, E7, E37
M33. "iplogger.com" (Domain) — options: E104, E33, E105, E106
M34. "potrakit.ru" (Domain) — options: E51, E73, E69, E107
M35. "coudzoom.ru" (Domain) — options: E73, E69, E109, E51
M36. "ns.ns3-dns.com" (Domain) — options: E95, E101, E100, E96
M37. "cloue.link" (Domain) — options: E78, E111, E43, E94
M38. "chimeramarketplace.online" (Domain) — options: E8, E4, E112, E2
M39. "single-office.ddns.net" (Domain) — options: E96, E99, E113, E95
M40. "star-cz.ddns.net" (Domain) — options: E95, E97, E99, E113
M41. "confirm-agent.online" (Domain) — options: E2, E4, E3, E5
M42. "telegram.org.t.me-cloud.link" (Domain) — options: E78, E10, E111, E93
M43. "tme-id.com" (Domain) — options: E63, E53, E33, E64
M44. "telsec.org" (Domain) — options: E86, E36, E25, E38
M45. "unayt.ru" (Domain) — options: E73, E69, E117, E71
M46. "tgeo.link" (Domain) — options: E17, E93, E22, E19
M47. "nirsoft.me" (Domain) — options: E53, E12, E65, E13
M48. "tronogram.com" (Domain) — options: E1, E50, E33, E59
M49. "new-tech-savvy.com" (Domain) — options: E53, E33, E119, E80
M50. "tme-id.ru" (Domain) — options: E62, E27, E118, E108
M51. "hopentools.ru" (Domain) — options: E71, E69, E123, E73

=== RESPONSE (32.9s, in 4551 / out 9893 tok, stop) ===
{"v":[{"m":"telecomds.online","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"telegraom.me","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"elyslink.online","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"xbeta.online","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"swinj.online","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"telegram.uk.net","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"edopomogaonline.yolasite.com","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"telegrad.info","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"telesecurity.org","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"jimloamfilling.online","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"tg.cyou","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"truffa.online","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"telegram-mobile.ru","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"eurotelle.com","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"telegram-wed.id","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"i1t.me","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"gondurasonline.ru","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"t-me.io","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"telegram-wap.me","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"telegram-click.ru","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"nafillimonilini.net","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"webk-telegram.icu","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"krasavchikoleg.net","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"cloudlnk.org","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"freeusadatingxxx.online","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"zarabovannyok.eu","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"teiergam.com","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"grabify.link","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"alt-2cdn.net","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"ns.ns2-dns.com","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"t--t.me","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"teleqram.info","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"iplogger.com","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"potrakit.ru","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"coudzoom.ru","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"ns.ns3-dns.com","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"cloue.link","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"chimeramarketplace.online","id":"NEW","g":"a domain in a registry review","p":"E8","r":"b"},{"m":"single-office.ddns.net","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"star-cz.ddns.net","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"confirm-agent.online","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"telegram.org.t.me-cloud.link","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"tme-id.com","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"telsec.org","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"unayt.ru","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"tgeo.link","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"nirsoft.me","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"tronogram.com","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"new-tech-savvy.com","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"tme-id.ru","id":"NEW","g":"a domain in a registry review","p":null,"r":null},{"m":"hopentools.ru","id":"NEW","g":"a domain in a registry review","p":null,"r":null}]}
