=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 708 canonicals"
Entities:
E1. ICYWELL
E173. GrimPlant
E174. WhisperGate
E175. HarvesterX
E176. CVE-2017-17689
E177. CVE-2019-17666
E178. icloud.cmd
E179. cmd.exe
E180. IcloudSecurity.lnk
E181. Iclouding.exe
E182. dnscmd
E183. RC2CL
E184. csrss.zip
E185. CCleaner.zip
E186. 501_25_103.zip
E187. довідка.zip
E188. Gazprombank.zakaz.docx.zip
E189. ignit.vbs
E190. Вирус... крайне опасно!!!.zip
E191. install.msi
E192. major.exe
E193. Windows_Security_Update_gMj
E194. Remote Utilities - Host
E195. ctlhost.exe
E196. Test-ProxyLogon.ps1
E197. Windows Script Host
E198. GzipLoader
E199. njRAT
E200. Smokeloader
E201. CVE-2020-3283
E202. CVE-2020-12641
E203. CVE-2021-31207
E204. CVE-2021-26855
E205. CVE-2020-3125
E206. CVE-2020-3254
E207. CVE-2021-34523
E208. CVE-2021-26857
E209. CVE-2020-3259
E210. q.js
E211. зг. дог рах. фак 708.js
E212. z.ps1
E213. pax_2023_ab1058..js
E214. CVE-2020-3760
E215. CVE-2020-3759 [aka CVE-2020-3179]
E216. CVE-2020-3110
E217. CVE-2020-3120
E218. CVE-2020-0601
E219. CVE-2020-3196
E220. CVE-2018-8124
E221. CVE-2022-23134
E222. CVE-2022-21907
E223. CVE-2018-8141
E224. CVE-2022-23131
E225. CVE-2021-44026
E226. CVE-2018-20251 [aka CVE-2018-20252]
E227. CVE-2018-8132
E228. CVE-2018-7602
E229. CVE-2018-20250
E230. CVE-2020-7047
E231. CVE-2020-3118
E232. CVE-2020-3298
E233. CVE-2021-44228
E234. CVE-2021-40444
E235. COOKBOX
E236. Misha
E237. SOLOSHRED
E238. ssj.jpg
E239. Renci.SshNet
E240. SSL 3.0
E241. CVE-2020-7048
E242. CVE-2020-3187
E243. CVE-2020-3741
E244. iclouds.cmd
E245. Windows [aka Microsoft Windows]
E246. Meris
E247. nslookup
E248. watchOS
E249. IIS [aka IIS (Internet Information Services)]
E250. XWorm
E251. CVE-2018-8134
E252. CVE-2021-34473
E253. CVE-2020-0611
E254. Snake Keylogger
E255. REDLINESTEALER
E256. Racoon
E257. GAMMASTEEL
E258. CredoMap_v2
E259. csrss.exe
E260. AUKILL
E261. systeminfo
E262. Ngrok
E263. HoaxPen
E264. STIX
E265. October CMS [aka OctoberCMS]
E266. one.exe
E267. SNMP Subagent Stand-Alone for Windows
E268. 223329.exe
E269. curl.exe [aka curl]
E270. explorer.exe
E271. 62ea.exe
E272. MSCommondll.exe
E273. b.exe
E274. AdvancedRun.exe
E275. CVE-2018-7600
E276. Drupalgeddon2
E277. CVE-2018-6882
E278. CVE-2018-8170
E279. ClamAV
E280. Joomla
E281. LAKEFLASH
E282. LONEPAGE
E283. Log4j [aka Apache Log4j]
E284. AsyncRAT
E285. DarkCrystal RAT
E286. Agent Tesla [aka AgentTesla]
E287. VENOM RAT
E288. RoarBat
E289. DROWN (CVE-2016-0800) [aka FREAK (CVE-2015-0204)]
E290. Heartbleed (CVE-2014-0160)
E291. POODLE (CVE-2014-3566)
E292. OVERJAM
E293. CVE-2020-3119
E294. nginx
E295. dnsmasq
E296. TCP Wrappers
E297. Elements Browser
E298. Formbook/XLoader v2.5
E299. 2.Витяг з реeстру вiд 24.07.2023р_Код документа 9312-0580-6944-3255.xls.js
E300. Акт_звiрки_вiд_18_липня_2023p.pdf.js
E301. MASEPIE
E302. CVE-2020-3757
E303. CVE-2020-0609
E304. CVE-2020-3255
E305. CVE-2020-3111
E306. Ursnif
E307. Themida
E308. CVE-2020-3195
E309. Thumbs.db
E310. RemCom [aka Remcos, Remcos RAT, RemcosRAT]
E311. Thunderbird [aka Mozilla Thunderbird]
E312. RomCom
E313. SYSTEMBC
E314. GammaSteel.PS1
E315. Pterodo
E316. SPECTR.Archiver
E317. Eazfuscator
E318. RelicRace
E319. BACKSTAB
E320. GandCrab v4
E321. GandCrab v4.1
E322. dovidka.chm
E323. HVNC bot
E324. SaintBot
E325. MicroBackdoor [aka microbackdoor.dll]
E326. Becky!
E327. VMware Workstation Pro
E328. VMware Workstation Player
E329. DoubleZero
E330. BidSwipe
E331. dd
E332. CADDYWIPER
E333. Chrome [aka Google Chrome]
E334. Zenmap
E335. WhiteBlackCrypt Ransomware
E336. csrss.exe (DoubleZero)
E337. Postbox Credential
E338. DigiCert Certificate Inspector
E339. Адресса отгрузки.xlsx
E340. httpshelper.dll
E341. HeadLace
E342. CrescentImp
E343. POWERGAP
E344. SIEM
E345. RDP Gateway Server
E346. shellcode.x64 (Cobalt Strike Beacon) [aka shellcode.x64.bin]
E347. GOSSIPFLOW
E348. SIGTOP
E349. RC4
E350. Amigo Browser
E351. RelicSource
E352. DeliveryCheck
E353. RAR
E354. ProxyLogon
E355. Viber
E356. CHISEL
E357. LIBPROCESSHIDER
E358. НПУ.docx
E359. Proxmox
E360. ConfuserEx
E361. FireEye red team tools
E362. MS Word [aka Microsoft Word, Microsoft Office Word]
E363. Malware Information Sharing Platform (MISP) [aka MISP]
E364. Tor
E365. formbook.exe [aka Formbook]
E366. wscript.exe [aka Windows Script Host (wscript.exe)]
E367. cscript.exe
E368. sysm.exe
E369. wisw.exe
E370. MS Office [aka Microsoft Office]
E371. Zoom
E372. dhdhk0k34.com
E373. Pocomail
E374. Windows 7
E375. Windows 10
E376. Windows Vista
E377. Windows SMBv1
E378. Windows 2008 R2
E379. Windows 10 version 1809
E380. WhisperPack
E381. Cisco Crosswork
E382. CMS Drupal
E383. gowitness
E384. WINWORD.EXE
E385. WP Database Reset
E386. Encrpt3d Ransomware
E387. Cuba Ransomware
E388. BitsTransfer
E389. ChakraCore
E390. ScrubCrypt
E391. vbc.exe
E392. alt.exe
E393. PO.jpg (EXE)
E394. dropper.exe
E395. Firefox [aka Mozilla Firefox]
E396. cpcrs.exe (DoubleZero)
E397. dirbuster
E398. DirectAdmin
E399. VMware ESXi
E400. .NET Framework
E401. VMware Tools
E402. HATVIBE
E403. whois
E404. WinSCP
E405. SPECTR.Usb
E406. SPECTR.Fs
E407. file.htm
E408. Base-Update.exe [aka base_update.exe]
E409. 1.Платiжна iнструкцiя iпн та вытяг з реестру Код документа 9312-0580-6944-3255.exe
E410. Corona-virus-Map.com.exe
E411. spisok_24.08.2018.com
E412. shahed-136.rar
E413. inject.exe
E414. crsse.exe
E415. GammaLoad.PS1_v2
E416. RoyalRoad
E417. Microsoft Edge
E418. portable.exe
E419. inf.zip [aka info.zip]
E420. MS PowerPoint
E421. microsoft-cortana.exe
E422. FTPGetter
E423. nmap
E424. scan.exe (CredoMap_v2)
E425. UkrScanner.exe (SFX)
E426. CredoMap
E427. SearchEmbdIndex.ps1
E428. Windows Server 2019
E429. DANABOT
E430. Mirai
E431. CentBrowser
E432. dnscat
E433. Sysmon
E434. ipad.system
E435. Microsoft Windows 7 for 32-bit Systems SP1
E436. Python 2.7.18
E437. VBScript
E438. PyArmor
E439. CVE-2020-3191
E440. Logjam (CVE-2015-4000)
E441. masscan
E442. Netscan
E443. http-vuln-cve2021-26855.nse
E444. CVE-2020-35730
E445. shellcode.x86 (Cobalt Strike Beacon) [aka shellcode.x86.bin]
E446. Desired State Configuration (DSC)
E447. CVE-2020-3189
E448. CVE-2018-8127
E449. CVE-2022-24521
E450. CVE-2022-30190
E451. WordPress
E452. WinExe
E453. WhatsApp
E454. passport.bat
E455. Protector.bat
E456. killself.bat
E457. officecleaner.bat
E458. wsuscr.exe
E459. host_news_mod_mod.msi
E460. OpenVPN
E461. Microsoft SQL Server (MSSQL)
E462. TunnelMole
E463. Google Drive
E464. OpenSSL
E465. Apple Mail
E466. DropMeFiles
E467. CDPwn
E468. Brave Browser
E469. Uran Browser
E470. DIRTYMOE (PURPLEFOX)
E471. Opera Browser
E472. Chedot Browser
E473. PinkyAgent
E474. ISPManager
E475. Adobe Flash Player
E476. SSH
E477. EFAIL
E478. Opera Mail
E479. Paltalk
E480. Signal
E481. CCleaner.rar
E482. CodeMeter.exe
E483. HTA file
E484. HTM dropper
E485. Filezilla
E486. Диверсанти file‮‮rar.scr
E487. Vidar
E488. До оплати від 11.12.18.lzh
E489. Aid request COVID-19-04_5_22.xls
E490. Cisco Firepower Threat Defense (FTD) Software
E491. Cisco Adaptive Security Appliance (ASA) Software
E492. Microsoft Windows 7 for x64-based Systems SP1
E493. Microsoft Office Services and Web Apps
E494. RWC 3 for Windows
E495. WinRAR
E496. Assistance.rar
E497. zakon.rar
E498. WinRAR 5.70 Beta 1
E499. UkrScanner.rar
E500. Диверсанти.rar
E501. rutserv.exe
E502. Видаткова_накладная_№121_вiд_18_липня_2023p.pdf.js
E503. Платiжна iнструкцiя iпн та вытяг з реестру Код документа 9312-0580-6944-3255.zip
E504. Pax_ipn_18.07.2023p.jpg
E505. installer.exe
E506. stage1.ps1
E507. ms-msdt.exe
E508. Torch Browser
E509. Mozilla
E510. rundll32.exe
E511. Petya
E512. spi.exe
E513. VMProtect
E514. EdgeNotification.dll
E515. WibuCm32.dll
E516. core.dll
E517. MSDriverMonitor.exe
E518. DAAL
E519. CCleaner.exe
E520. MSCommonDriver.DCRat.exe
E521. ESET Online Scanner.exe
E522. smbexec
E523. CoronaMap.exe
E524. Impacket
E525. Remote Desktop Protocol (RDP)
E526. AnyDesk
E527. Qualys SSL Client Test
E528. Firefox для iOS
E529. Cobalt Strike Beacon [aka csbeacon.bin]
E530. needrestart
E531. TeamViewer
E532. vaultcli.dll
E533. wmiexec
E534. GreyEnergy mini
E535. SPECTR
E536. Weevely
E537. INDUSTROYER2
E538. macOS
E539. АСКОД
E540. Coowon Browser
E541. oracle-java.exe
E542. plan_dsns.gov.ua.rar
Mentions:
M1. "QUEUESEED" (Software) — options: E1, E2, E3, E4
M2. "KNUCKLETOUCH" (Software) — options: E10, E11, E12, E13
M3. "ICYWELL" (Software) — options: E19, E20, E21, E22
M4. "WRONGSENS" (Software) — options: E28, E24, E29, E1
M5. "KAPEKA" (Software) — options: E34, E35, E36, E37
M6. "LOADGRIP" (Software) — options: E43, E44, E45, E46
M7. "BIASBOAT" (Software) — options: E52, E53, E54, E27
M8. "Weevely" (Software) — options: E23, E59, E60, E61
M9. "REGEORG.NEO" (Software) — options: E66, E67, E1, E60
M10. "PIVOTNACCI" (Software) — options: E72, E54, E73, E2
M11. "GOSSIPFLOW" (Software) — options: E1, E79, E80, E5
M12. "SDelete" (Software) — options: E85, E86, E87, E88
M13. "CHISEL" (Software) — options: E94, E95, E96, E97
M14. "LIBPROCESSHIDER" (Software) — options: E100, E101, E102, E26
M15. "JUICYPOTATONG" (Software) — options: E28, E1, E107, E108
M16. "ROTTENPOTATONG" (Software) — options: E112, E5, E74, E110
M17. "q.js" (Software) — options: E111, E114, E115, E116
M18. "LOADSHORT" (Software) — options: E44, E48, E46, E72
M19. "oYUuQbXu" (Software) — options: E124, E125, E126, E127
M20. "SHADOWLADDER" (Software) — options: E133, E134, E135, E123
M21. "LOADJUMP" (Software) — options: E43, E140, E141, E48
M22. "TAILJUMP" (Software) — options: E2, E47, E142, E1
M23. "REDLINESTEALER" (Software) — options: E145, E146, E147, E6
M24. "PHP" (Software) — options: E61, E150, E151, E152
M25. "HANGTHREAD" (Software) — options: E2, E157, E158, E16
M26. "CVE-2017-17689" (Software) — options: E161, E162, E163, E164
M27. "Propagate" (Software) — options: E170, E171, E2, E172
M28. "CVE-2017-17688" (Software) — options: E161, E165, E176, E164
M29. "iclouds.cmd" (Software) — options: E178, E179, E180, E22
M30. "inf.zip" (Software) — options: E184, E185, E186, E99
M31. "host_news_mod_mod.msi" (Software) — options: E191, E192, E85, E73
M32. "HijackLoader" (Software) — options: E118, E77, E46, E20
M33. "CVE-2021-32648" (Software) — options: E201, E202, E203, E204
M34. "c.js" (Software) — options: E119, E116, E115, E210
M35. "CVE-2020-35730" (Software) — options: E205, E201, E214, E215
M36. "CVE-2022-24521" (Software) — options: E220, E161, E207, E221
M37. "CVE-2018-6882" (Software) — options: E161, E165, E166, E226
M38. "CVE-2020-7048" (Software) — options: E201, E205, E230, E215
M39. "CVE-2021-44026" (Software) — options: E201, E205, E233, E204
M40. "LOADNEST" (Software) — options: E43, E46, E44, E45
M41. "SSH" (Software) — options: E33, E142, E236, E60
M42. "CVE-2020-7047" (Software) — options: E201, E205, E241, E215
M43. "icloud.cmd" (Software) — options: E244, E22, E180, E179
M44. "whois" (Software) — options: E73, E245, E246, E247
M45. "CVE-2021-34523" (Software) — options: E251, E252, E204, E223
M46. "CVE-2020-12641" (Software) — options: E205, E201, E218, E243
M47. "MeduzaStealer" (Software) — options: E254, E255, E6, E146
M48. "tasklist" (Software) — options: E259, E260, E144, E88
M49. "nginx" (Software) — options: E152, E128, E262, E39
M50. "LONEPAGE" (Software) — options: E265, E51, E68, E266
M51. "sgegkseg23mjl.exe" (Software) — options: E124, E268, E269, E270
M52. "CVE-2018-7602" (Software) — options: E275, E226, E276, E277
M53. "CLOGFLAG" (Software) — options: E51, E279, E183, E280
M54. "QuasarRAT" (Software) — options: E284, E199, E285, E72
M55. "Logjam (CVE-2015-4000)" (Software) — options: E289, E290, E291, E226
M56. "CVE-2020-3111" (Software) — options: E205, E201, E216, E215
M57. "hostname" (Software) — options: E294, E79, E197, E295
M58. "CVE-2020-3757" (Software) — options: E201, E209, E215, E205
M59. "documents (5).js" (Software) — options: E211, E114, E297, E298
M60. "MarsStealer" (Software) — options: E146, E145, E91, E6
M61. "CVE-2020-3759" (Software) — options: E209, E201, E302, E218
M62. "CVE-2020-3119" (Software) — options: E205, E201, E216, E215
M63. "CVE-2017-14491" (Software) — options: E164, E205, E167, E163
M64. "IcedID" (Software) — options: E306, E107, E198, E307
M65. "CVE-2020-3125" (Software) — options: E201, E217, E215, E209
M66. "e.js" (Software) — options: E114, E211, E210, E111
M67. "THUMBCHOP" (Software) — options: E2, E309, E310, E311
M68. "STEELHOOK" (Software) — options: E13, E131, E9, E314
M69. "ARGUEPATCH" (Software) — options: E74, E316, E152, E248
M70. "FateGrab" (Software) — options: E318, E92, E175, E319
M71. "BootPatch" (Software) — options: E123, E14, E61, E248
M72. "BACKSTAB" (Software) — options: E173, E53, E325, E13
M73. "ZeroWipe" (Software) — options: E329, E330, E331, E332
M74. "DeliveryCheck" (Software) — options: E337, E318, E86, E338
M75. "HeaderTip" (Software) — options: E340, E140, E341, E17
M76. "GAMEDAY" (Software) — options: E50, E343, E8, E257
M77. "GHOSTPULSE" (Software) — options: E2, E73, E346, E347
M78. "LightRope" (Software) — options: E16, E69, E348, E39
M79. "RelicRace" (Software) — options: E351, E52, E352, E341
M80. "ViottoKeylogger" (Software) — options: E10, E254, E51, E200
M81. "CyBOX" (Software) — options: E356, E235, E357, E323
M82. "AWFULSHRED" (Software) — options: E237, E159, E260, E360
M83. "XWorm" (Software) — options: E254, E362, E363, E298
M84. "wsuscr.exe" (Software) — options: E11, E259, E366, E268
M85. "RomCom" (Software) — options: E370, E310, E371, E353
M86. "Windows" (Software) — options: E374, E375, E130, E193
M87. "SourSnack" (Software) — options: E112, E306, E28, E380
M88. "WordPress" (Software) — options: E382, E48, E362, E280
M89. "WhiteBlackCrypt Ransomware" (Software) — options: E386, E387, E135, E236
M90. "b.exe" (Software) — options: E124, E391, E266, E268
M91. "DIRTYMOE (PURPLEFOX)" (Software) — options: E118, E394, E395, E260
M92. "Encrpt3d Ransomware" (Software) — options: E335, E387, E135, E320
M93. "WhatsApp" (Software) — options: E92, E402, E355, E39
M94. "MAGICSPELL" (Software) — options: E26, E1, E105, E21
M95. "./decpded_page.html" (Software) — options: E127, E129, E407, E408
M96. "VENOM RAT" (Software) — options: E284, E310, E199, E285
