=== REQUEST (ollama gemma4:31b) ===
--- instructions ---
You are an entity-resolution judge for an incremental entity registry. For every mention you decide two things: which entity it is, and how it relates to the registry's broader or narrower entities.

The source lists its known entities once, as `E1…En`. Every mention names the subset of those entities that plausibly match it. Use the numbers; never write a name where a number is asked for.

## 1. `id` — identity (exact match)

Answer `"NEW"` when the mention refers to an entity that is none of its listed options; otherwise the option's `E` number. Only choose an existing entity when the supplied names and aliases support identity. Category, role, behavior, relationships, co-occurrence, and thematic similarity are NOT identity evidence. The order of options is retrieval score, which is not evidence.

Same entity — the names differ only in written form:

- a vendor, publisher, or organization prefix present in one ("Acme Foo" / "Foo");
- spacing, punctuation, hyphenation, case ("FooBar" / "Foo Bar");
- a parenthetical or bracketed descriptor ("foo (the loader used here)" / "foo");
- a file extension, platform, or implementation suffix ("foo.bin" / "foo", "Foo .NET" / "Foo");
- a generic type word stating only what kind of thing it is ("Foo tool" / "Foo");
- an acronym beside its own expansion;
- a transliteration or translation of the same proper name.

Different entities, however related — version, edition, year or identifier differs; one is a part, component or member of the other; one is a file or artifact and the other the program that made it; the base names differ. When names are alike except for an identifier or a number, match those characters exactly and never choose an option whose identifier differs. When a name pairs a structured identifier with a descriptive label — in either order, one of them usually bracketed ("K-12 (Foo)", "Foo (K-12)") — the identifier is what the name identifies. Choose the option carrying that identifier, and treat the bare label on its own as a different, broader entity.

If in doubt, answer `"NEW"`: a duplicate is repairable, a wrong merge is not.

## 2. `g` — gloss

For every mention you did NOT link, one short factual description — at most twelve words, grounded in the source, **not restating the name**. It is used to retrieve this entity later, never as identity evidence. Use `null` when the source says nothing descriptive.

## 3. `p` and `r` — the hierarchy relation

Only for mentions you answered `"NEW"`. Unlike identity, this question is answered from what the entities ARE — your general knowledge of them — not from the source text. The source does not need to state, or even hint at, the relation.

Set `p` to the `E` number of the listed entity the mention stands in a genuine narrower/broader relation to. Scan the WHOLE `E1…En` list for it: the right entity may be any listed entity, including one that another mention of this document put on the list. A mention's options row is identity retrieval only — the genuinely broader entity is usually NOT in it, because a component and the system it belongs to rarely resemble each other by name. When the mention is the narrower side, prefer the **narrowest** listed entity that is genuinely broader than it. Set `r` to one of four:

- `"v"` — the listed entity is the mention **with a qualifier removed**: a version, edition, year, release, platform, or packaging variant. `Foo 2010` under `Foo`, `Foo 7` under `Foo`, `Foo (64-bit)` under `Foo`. Both name the same thing at different precision, and that qualifier is the only difference.
- `"n"` — the mention is narrower for any other reason: a named instance under its type, a model under its product line, a derivative built on the listed base.
- `"p"` — the mention is a distinct component, member, or subdivision of the listed entity.
- `"b"` — the reverse direction: the mention is genuinely **broader** than the listed entity — the listed entity is a version, instance, or component of the mention. `Foo` mentioned when `Foo 2010` is already listed.

An identifier that names a vulnerability, advisory, exploit, or ticket (`CVE-…`, `MS…-…`, a bulletin or issue number) is NOT narrower than the product it affects: a flaw lives IN a product without being a kind, version, or part of it. For such mentions answer `null` unless the listed entity is another naming of the same flaw.

Ask it of every new entity, not only the obvious ones. You have just written each mention's gloss — use it: when a gloss names the base product, engine, family, or host system the mention is built on, and that entity appears anywhere in `E1…En`, that entity is the `p`. A gloss that says "X-based" or "component of X" while `p` is `null` is a contradiction. In particular, when several mentions of this document are versions, derivatives, components, or members of one base product that appears anywhere in `E1…En`, each of them gets that `p` — a run of siblings is the commonest case, not an exception. Set both to `null` when nothing listed is narrower or broader, when the link is merely topical, or when you cannot say what the relation is — a missing edge is recoverable, a wrong one distorts every later rollup. Never point `p` at the mention itself, and never set it on a mention you linked.

## Output

Source context bears on identity only, and only where it explicitly establishes an alias, identifier, transliteration, abbreviation, or unambiguous co-reference. The hierarchy question never depends on the source.

Output one raw JSON object, no markdown fences, no commentary, one entry per mention, in order, keys exactly in the order `m`, `id`, `g`, `p`, `r` — the gloss is written before the hierarchy answer on purpose:
{"v":[{"m":"M1","id":"E3","g":null,"p":null,"r":null},{"m":"M2","id":"NEW","g":"a 2010 release of the suite","p":"E1","r":"v"}]}

--- text ---
Source: "registry review at 1823 canonicals"
Entities:
E1. olminx.com
E167. support-ukr.net
E168. vertusupportjk.org
E169. dnslookup.seowebchecker.com
E170. sign-cert.com
E171. www.portcheckers.com
E172. authcheck.in
E173. check-active.site
E174. uaccsnet.com
E175. global-world-news.net
E176. filetransrediremin.com
E177. tzi.info-cip.org
E178. in-touc.com
E179. get.adobe.com.aspx.io [aka www.get.adobe.com.aspx.io]
E180. my-gov.cloud
E181. star-cz.ddns.net
E182. cancel-action.site
E183. accept-action.site
E184. authssl.site
E185. www.telegram-auth.website
E186. gdocs.com.authssl.site
E187. www.confirm-signal.site
E188. confirm-agent.online
E189. signal-confirm.site
E190. 1833.site
E191. stormpredictor.host
E192. netbin.host
E193. milgov.site
E194. getmod.host
E195. mil.ua.aspx.io
E196. gov.mil.ua.aspx.io
E197. cisa.gov
E198. milgov.host
E199. mil-ee.cloud
E200. military-ukraine.site
E201. web.teiegram.host
E202. www.teiegram.host
E203. syncapp.host
E204. meteolink.host
E205. web-telegram.host
E206. teiegram1.me
E207. web.web.telegram-account.host
E208. web.telegram-account.host
E209. 212nj0b42w.web.telegram-account.host
E210. 658pvbhj2k7veemmv4.web.telegram-account.host
E211. www.telegramm-account.site
E212. telegram.account.associates
E213. webk-telegram.icu
E214. sendmail.website
E215. telegram.check-active.site
E216. telegram-account.host
E217. spam.web-telegram.host
E218. teiegram.host
E219. delta.mil.gov.ua.delta-storages.com
E220. delta-storages.com
E221. net.ssl1.site
E222. net.ssl2.site
E223. net.ssl3.site
E224. www.qsrgh.site
E225. a0656203.xsph.ru
E226. webk-telegram.sbs [aka webz-telegram.sbs]
E227. erwini.ru
E228. group.kropyva.site
E229. kropyva.site
E230. qkcew.ru
E231. teneta.group
E232. group-invitation.site
E233. kropyva.group
E234. group-teneta.online
E235. group.teneta.site
E236. teneta.site
E237. eurotelle.com
E238. eumr.site
E239. graphiuma.online
E240. melitaes.online
E241. prozorro.online
E242. phymateus.online
E243. groupdavinci.online
E244. xbeta.online
E245. whatsapp.group-invitation.site
E246. whatsapp.protect-password.site
E247. wasabiwallet.online
E248. www.signal-confirm.site
E249. edisk.ukr.net
E250. pas-ukr.net
E251. site-ukr.net
E252. passport2.zip
E253. ukr.net.ssl1.site
E254. password-ukr.net
E255. ukr.net.ssl2.site
E256. ns1.passport2.zip
E257. www.protect-password.site
E258. product-reviews.website
E259. changepassword-ukr.net
E260. whatsapp-confirm.site
E261. telegram-click.ru
E262. www.accept-action.site
E263. accept-pay.top
E264. vesna-konkurs.life
E265. confirmphone.site
E266. notfiled.com
E267. share-drive.site
E268. google.drive-share.site
E269. google.share-drive.site
E270. www.google-drive.site
E271. drive-share.site
E272. security-check.telegram.org.ohsxy.com [aka telesecurity.org]
E273. 4qzm.com
E274. nxkad.ru [aka xcqef.ru]
E275. qsrgh.site
E276. ssl2.site
E277. rncsq.ru
E278. ssl1.site
E279. protect-password.site
E280. googledrive.com.ssl2.site
E281. share.ukr.net.ssl1.site
E282. shared.drive.googie.com.ssl4.site
E283. google.com.ssl2.site
E284. qweasdzx.site
E285. kohhd.com
E286. lonejade.com
E287. hexactor.com
E288. rozsenich.com
E289. outlook.live.com.exmo.day
E290. outlook.certifiedauth.in
E291. outlook.live.com.getssl.click
E292. let-me.life
E293. ukraine-charu.life
E294. balerina.life
E295. primaballerina.life
E296. balet-ua.eu [aka balet-ua.life]
E297. let-me.network
E298. balet-me.info
E299. it-develop.me
E300. live.com.exmo.day
E301. account.outlook.live.com.exmo.day
E302. login.outlook.live.com.exmo.day
E303. account.live.com.exmo.day
E304. login.live.com.exmo.day
E305. outlook.exmo.day
E306. exmo.day
E307. arminext.com
E308. olei.ro
E309. agreminj.com
E310. www.dropbox.com
E311. shormanz.com
E312. ns1.lonejade.com
E313. golos-charu-ua.life
E314. awards-ua.life
E315. baletki-ua.life
E316. ua-cip.org
E317. golos-konkurs-ua.eu
E318. golos-malunki-ua.eu [aka malunki-golos-ua.eu]
E319. uasetukr.com
E320. kurapat.ru
E321. ip-api.com [aka ipapi.co]
E322. gopoppers.com
E323. blogger.certifiedauth.in
E324. fishitor.ru
E325. ualogaccs.com
E326. blogger.google.com.getssl.click
E327. me-cloud.link
E328. mouseoiet.fun
E329. claud.in
E330. ssl2.link
E331. authssl.link
E332. steycools.pw
E333. goaccount.link
E334. file.io
E335. aspx.io
E336. propertyiran.ir
E337. censys.io
E338. frge.io
E339. petitionukraine.com
E340. troadsecow.com
E341. rivertimad.com
E342. modeselling.com
E343. shorturl.at
E344. sinergil.com
E345. tio-gos.top
E346. vinergil.com
E347. toknowall.com
E348. smartcloudflare.com
E349. jorgava.com
E350. gov-ua.cloud
E351. duhodown.fun
E352. govua.cloud
E353. geroiua.com
E354. m-vz.webhop.me
E355. nirsoft.me
E356. webhook.site
E357. 7tt.me
E358. fernandoherrera.me
E359. t.me
E360. i1t.me
E361. unetset.com
E362. zbignef.com
E363. ukrstnet.com
E364. net.ssl1.online
E365. ssl3.online
E366. ssl4.online
E367. ukr.net.ssl1.online
E368. coagula.online
E369. edisk.ukr.net.ssl1.online
E370. hsts.online [aka www.hsts.online]
E371. golos-ua.life [aka golos-ukr.life]
E372. golos-charu-ua.info
E373. golos-charu-ua.pics
E374. iloveua.ir
E375. kew.1qw.us [aka kew.8df.us]
E376. nk.1qw.us
E377. ret.6bc.us
E378. balet-ua.us
E379. balet-me.us
E380. app.any.run
E381. bt.toloka.to
E382. bt.toloka.tv
E383. autodoka.com.ua
E384. cryptsen7fo43rr6.onion.to
E385. topadm.top
E386. flayga.ru
E387. blopik.com
E388. lo7h.com
E389. aluaadin.com
E390. tinyurl.com
E391. ginaengg.com
E392. combinedresidency.org
E393. benokij.com
E394. icanhazip.com
E395. nowpropitup.com
E396. apokil.com
E397. upportteam.lingrevelat.com
E398. malvy-vote.life
E399. ukraine-malvy.life
E400. mulleti.ru
E401. malvy-ukr.life [aka ukr-malvy.life]
E402. malvy-final.life
E403. vote-me.top
E404. malvy-ukraine.life
E405. tax-gov-ua.com
E406. anonvnc.com
E407. gdocs.com.personlog.in
E408. blinkij.com
E409. blog.gocon.in
E410. outlook-1.cdn.live.com.getssl.click
E411. live.com.getssl.click
E412. account.live.com.getssl.click
E413. res.live.com.getssl.click
E414. login.live.com.getssl.click
E415. cdn.live.com.getssl.click
E416. csp.live.com.getssl.click
E417. data.live.com.getssl.click
E418. africathrillthes.pw
E419. bookgames.pw
E420. hmgo.pw
E421. dayzilons.pw
E422. carpetmarker.pw
E423. funedunet.com
E424. ukrsets.com
E425. ukrsett.com
E426. golos-ua-hudojniku.eu
E427. golosa-hudojniku.eu
E428. yavasponimayu.ru
E429. golos-uah-hudojniku.eu
E430. golosa-hudojnikuua.eu
E431. golos-hudojniku.eu
E432. mockbin.org
E433. akaluij.com
E434. oncetrips.com
E435. gov-fi.cloud
E436. qwdfewf.com
E437. tme-id.com
E438. golosua-hudojniku.eu
E439. golos-hudojniku-ua.eu [aka golosa-hudojniku-ua.eu, golosa-hudojniku-uah.eu]
E440. golosa-uahhudojniku.eu [aka golosa-uahudojniku.eu, golosa-uahugojniku.eu]
E441. ssl1.online [aka ssl2.online]
E442. truffa.online
E443. barbatus.online
E444. authssl.online
E445. zamesblack.fun
E446. googles.com.personlog.in
E447. com.authssl.online
E448. www.authssl.online
E449. ns1.authssl.online
E450. ns2.authssl.online
E451. authssl.org
E452. unayt.ru
E453. infomalilopera.ru [aka infomailforyoumak.ru]
E454. emterox.ru
E455. abracodabugalimpopo.ru
E456. acteran.ru
E457. reg.ru
E458. webhop.me
E459. geroiukr.site
E460. ssl3.site
E461. ns2-dns.com
E462. ns.ns3-dns.com
E463. ns3-dns.com
E464. vtxhospital.com [aka crmeds.com]
E465. ddns.net
E466. tortunas.ru
E467. milotrad.ru
E468. clipperso.ru
E469. milotraf.ru
E470. kopratiso.ru
E471. dipteran.online
E472. sardanal.online
E473. scorpiones.online
E474. azimurs.com
E475. sansaispa.com
E476. uknetlogin.com
E477. personlog.in
E478. baidenfree.com
E479. anotepad.com
E480. lonelyatthetop.com
E481. s3-de.cloud
E482. rpc.1qw.us
E483. bank.gov.ua
E484. ndibk.gov.ua
E485. thaibbqculver.com
E486. static-ukr.net
E487. grabify.link
E488. aleimportadora.net
E489. bounceme.net
E490. keewoolas.pw
E491. moskhoods.pw
E492. myvnc.com
E493. yemmyusa.com
E494. github.com
E495. ns1.modeselling.com
E496. timeandbright.com
E497. rafraystore.ru
E498. s3-nsa.cloud
E499. ardeas.ru
E500. dodortar.ru
E501. nx0.ru
E502. shopersport.ru [aka vljsport.eu.com]
E503. servepics.com
E504. servemp3.com
E505. servebeer.com
E506. inter-webservices.com
E507. ns2.modeselling.com
E508. drimzis.com
E509. raidforums.com
E510. ruvds.com
E511. amo-opros.top [aka ao-opros.top]
E512. ui-opros.top
E513. eti-opros.top
E514. top-opros.top
E515. cels-opros.top
E516. afi-opros.top
E517. awa-opros.top
E518. aff-opros.top
E519. apps-opros.top
E520. criticalosl.tech
E521. center-gos.top
E522. central-gos.top
E523. wi-opros.top
E524. bul-opros.top
E525. enterwords.ru
E526. yandex.ru
E527. emtserviceca.info
E528. kilitro.ru
E529. maxteroper.ru
E530. net.frge.io
E531. ukr.net.frge.io
E532. _.ukr.net.frge.io
E533. kitten-268.frge.io
E534. tacticalv.com
E535. new-tech-savvy.com
E536. social.technet.microsoft.com
E537. chis-gos.top
E538. ganara.ru
E539. jokotras.ru
E540. xeontime.com
E541. hillespostelnm.eu
E542. bilitora.ru
E543. rms-server.tektonit.ru
E544. rmssrv2.ru
E545. rmssrv4.ru
E546. rmssrv3.ru
E547. me.gov.ua
E548. balet-deti.eu
E549. deti-ua.eu
E550. deti-ball.eu
E551. deti-bi.eu
E552. deti-malunki-ua.eu [aka malunki-deti-ua.eu]
E553. hopentools.site
E554. devtools.bond
E555. melitaeas.online
E556. elyslink.online
E557. ukrtelecom.cloud
E558. tbwelo.ru
E559. hawksi.ru
E560. 00-l.ru
E561. callsol.ru
E562. mafirti.ru
E563. lnasfe.ru
E564. golos2023q.ru
E565. rnbo.gov.ua
E566. wicksl.ru
E567. ncscc.gov.ua
E568. foundpomoshi.com
E569. 8003659902.site
E570. 0-t.me
E571. bt.hurtom.com
E572. borizhog.com
E573. ua-sec.cloud
E574. www.symantec.com
E575. winscp.net
E576. ser-ukr.net
E577. nabufixservice.name
E578. dishsouq.com
E579. s3-ned.cloud
E580. ns1.authssl.org
E581. economiquity.org [aka europadonnaireland.org]
E582. freedynamicdns.org
E583. apitelegram.org
E584. cve.mitre.org
E585. telegraom.me
E586. garagemusicschool.it
E587. api.dev-com.sc
E588. podologaneri.it
E589. dev-com.sc
E590. nas-files.firstcloudit.com
E591. ua-calendar.firstcloudit.com
E592. e-wwg.com
E593. sync.smartcloudflare.com
E594. s3-nato.cloud
E595. plexbd.net
E596. ukr.net
E597. grafix.ne.jp
E598. govtr.cloud
E599. poertrfinal.com
E600. servegame.com
E601. ua-mil.cloud
E602. mil-be.cloud
E603. mil-pl.cloud
E604. mil-pt.cloud
E605. s3-be.cloud
E606. com.ssl2.site
E607. gdrive.com.ssl2.site
E608. yotsubasociety.website
E609. doc.gmail.com.gyehddhrggdii323sdhnshiswh2udhqjwdhhfjcjeuejcj.zhblz.com
E610. hotmail.com
E611. portugalmail.pt
E612. iforma.es
E613. com.authssl.site
E614. tronogram.com
E615. prot-ukr.net
E616. nejsemlama.cz
E617. seznam.cz
E618. docs.microsoft.com
E619. protonmail.com
E620. ghaniyu.com
E621. policie-gov.cloud
E622. mails.support
E623. mail.aet.in.ua
E624. mail.numina.md
E625. sakentoshi.ru
E626. sackmeister.de
E627. arcor.de
E628. mail.lechateaudelatour.fr
E629. co3ra.de
E630. meta.ua
E631. mayak.dp.ua
E632. edisk.in.ua
E633. mail.certifiedauth.in
E634. atl.ua
E635. yeah-biches.kyiv.ua
E636. mail.google2.certifiedauth.in
E637. dis.gov.ua
E638. iol.pt
E639. s3-pt.cloud
E640. filedn.eu
E641. jasminvote.eu
E642. rivierafamily.com
E643. balletmasters.co
E644. candidar.ru
E645. balletworld.co
E646. chinagrill.co
E647. vuonorganic.com
E648. uadop.webflow.io
E649. zero-trust.solutions
E650. eu-southeast-1-aws.zero-trust.solutions
E651. familyvote.co
E652. vote-chary-telegram.info
E653. maluvani-ua.eu
E654. malunki-ua.eu [aka malunki-uah.eu]
E655. konkurs-maluvani-ua.eu
E656. konkursi-uah.eu
E657. maluvani-konkurs-ua.eu
E658. teierqam.org
E659. dynamic.exmo.day
E660. baletki.eu
E661. baletme.eu
E662. images.exmo.day
E663. datagroup.ddns.net
E664. d-upl.ddns.net
E665. ln-upl.ddns.net
E666. single-office.ddns.net
E667. viewdns.net
E668. serveirc.com
E669. listen.servemp3.com
E670. netman.servehttp.com
E671. survefuz.com
E672. bitbucket.org
E673. airmauritiusticket.com
E674. mv-gov.cloud
E675. mpo-gov.cloud
E676. eru-gov.cloud
E677. feedzai-gov.cloud
E678. mzp-gov.cloud
E679. mzv-gov.cloud
E680. gov-au.cloud
E681. msmt-gov.cloud
E682. md-gov.cloud
E683. files-ukr.net
E684. numsecukr.net
E685. cdn.exmo.day
E686. cdn.certifiedauth.in
E687. cdn.discordapp.com
E688. syncthing.net
E689. data.syncthing.net
E690. fex.net
E691. korrespondentnet.webflow.io
E692. ua.aspx.io
E693. dnspod.com
E694. store1.gofile.io
E695. photobucket.com
E696. store3.gofile.io
E697. store8.gofile.io
E698. boddyshow.fun
E699. telegram.org.security.ohsxy.com
E700. fan-guy.com
E701. verofes.com
E702. brunoboys.net
E703. www.pierreagencement.fr
E704. gbshost.net
E705. igshop.net
E706. gbshost.org
E707. prostotaknet.net
E708. dcshost.net
E709. selectchary.eu
E710. baletnet.eu
E711. serveminecraft.net
E712. gov-gr.cloud
E713. eu-southeast-1-aws.govtr.cloud
E714. govps.cloud
E715. mfa-gov-tr.cloud
E716. baletkiev.pics
E717. crazykids.pics
E718. chary-konkursua.pics
E719. dytiachatvorchist.pics
E720. badpdf.com
E721. pge-ukr.net
E722. raw.githubusercontent.com
E723. githubusercontent.com
E724. britxec.com
E725. gov-aws.cloud
E726. gov-lt.cloud
E727. stitchmiscpaew.shop
E728. againandagaingmorder.ru
E729. serv1-ukr.net
E730. hopentools.ru
E731. onyangdol.site
E732. servequake.com
E733. servecounterstrike.com
E734. malvy-ukriane.info
E735. specnaznachenie.ru
E736. csp.certifiedauth.in
E737. gov.ua
E738. 01mirror.com.ua
E739. uasystdoc.com
E740. ifastnet.com
E741. a0322810.xsph.ru
E742. a0695487.xsph.ru
E743. a0671524.xsph.ru
E744. a0667987.xsph.ru
E745. tvorchist-sch-hudojniki.eu
E746. opros-sch-hudojniki.eu
E747. tvorchist-ua.eu
E748. tvorchist-sadochka.eu
E749. paparat.ru
E750. pasamart.ru
E751. id.court.gov.ua
E752. admis.club
E753. apoxipodes.ru
E754. admukr.club
E755. aws-s3.cloud
E756. gov-sk.cloud
E757. vibir-hudojniku.eu
E758. hudojniku.eu
E759. vibir-uahudojniku.eu [aka vibiru-uahudojnika.eu, vibiru-hudojnika.eu, vibirua-hudojnika.eu]
E760. vibiruah-hudojniku.eu
E761. metanat.ru
E762. tvoyaradostetoya.ru
E763. opros-schudojniki-ua.eu
E764. golos-hudojniku-uah.eu
E765. eu-opros.top
E766. hudojnik-malunki-uah.eu
E767. opros-schudojniki-uah.eu
E768. hudojnikua-sch.eu
E769. hudojnikuah-sch.eu
E770. popuasyfromua.ru
E771. crash.syncthing.net
E772. serveblog.net
E773. jslopasitmon.com
E774. lolifans.ru
E775. cooperi.ru
E776. potrakit.ru
